H_chrys_OH_Ross_I15992_DCC3829_randAllele,EC,
H_chrys_NC_Orange_I3721_NC11_randAllele,EC,1
H_chrys_MD_Harford_I3726_MY01_randAllele,EC,1
H_chrys_KY_Laurel_I16302_MP630_randAllele,EC,
H_chrys_KY_Bell_I20294_14-1_randAllele,EC,
H_chrys_IL_Jefferson_I3736_ECM4330_randAllele,EC,
H_chrys_GA_Upson_I15986_MP859_randAllele,EC,
H_chrys_GA_Houston_I15987_MP649_randAllele,EC,
H_chrys_GA_Chatham_I15935_MP002_randAllele,EC,1
H_chrys_FL_Okaloosa_I15962_MP670_randAllele,EC,
H_chrys_FL_Liberty_I3739_ECM4690_randAllele,EC,
H_chrys_FL_Leon_I3740_ECM7850_randAllele,EC,
H_chrys_FL_Leon_I3738_ECM4533_randAllele,EC,
H_chrys_FL_Leon_I3723_FL72_randAllele,EC,
H_chrys_FL_Leon_I15975_MP732_randAllele,EC,
H_chrys_FL_Alachua_I3725_FL08_randAllele,EC,
H_chrys_FL_Alachua_I3724_FL06_randAllele,EC,
H_chrys_AL_Russell_I15954_MP458_randAllele,EC,
H_chrys_AL_Bibb_I16001_DCC3883_randAllele,EC,
H_vers_KY_Meade_I16009_MP825_max,KYV_MAX,
H_vers_KY_Meade_I16009_MP825_min,KYV_MIN,
H_vers_PA_Crawford_I16298_DCC3832_max,MW_MAX,1
H_vers_Ontario_Guelph_I16301_MP625_max,MW_MAX,1
H_vers_OK_Ottawa_I15979_MP793_max,MW_MAX,
H_vers_OH_Ross_I15994_DCC3828_max,MW_MAX,1
H_vers_MO_Greene_I15938_MP045_max,MW_MAX,
H_vers_MO_Boone_I3729_BCHV02_max,MW_MAX,
H_vers_MN_StLouis_I16015_DCC3864_max,MW_MAX,1
H_vers_MN_Ottertail_I15980_MP795_max,MW_MAX,1
H_vers_MN_Clearwater_I15970_MP702_max,MW_MAX,1
H_vers_IN_Porter_I15999_DCC3768_max,MW_MAX,1
H_vers_IL_Iroquois_I15989_INHS399T_max,MW_MAX,1
H_vers_IL_Hancock_I15988_INHS950T_max,MW_MAX,1
H_vers_PA_Crawford_I16298_DCC3832_min,MW_MIN,1
H_vers_Ontario_Guelph_I16301_MP625_min,MW_MIN,1
H_vers_OK_Ottawa_I15979_MP793_min,MW_MIN,
H_vers_OH_Ross_I15994_DCC3828_min,MW_MIN,1
H_vers_MO_Greene_I15938_MP045_min,MW_MIN,
H_vers_MO_Boone_I3729_BCHV02_min,MW_MIN,
H_vers_MN_StLouis_I16015_DCC3864_min,MW_MIN,1
H_vers_MN_Ottertail_I15980_MP795_min,MW_MIN,1
H_vers_MN_Clearwater_I15970_MP702_min,MW_MIN,1
H_vers_IN_Porter_I15999_DCC3768_min,MW_MIN,1
H_vers_IL_Iroquois_I15989_INHS399T_min,MW_MIN,1
H_vers_IL_Hancock_I15988_INHS950T_min,MW_MIN,1
H_aren_TX_Presidio_I16297_TJL1286_randAllele,O,
H_aren_AZ_Coconino_I16021_DCC3043_randAllele,O,
H_vers_TX_Wood_I3730_TXHV03_max,SW_MAX,1
H_vers_TX_Bastrop_I15936_MP019_max,SW_MAX,1
H_vers_TN_Shelby_I16303_MP700_max,SW_MAX,1
H_vers_OK_Cleveland_I15939_MP099_max,SW_MAX,1
H_vers_MO_Phelps_I15955_MP524_max,SW_MAX,1
H_vers_MO_Ozark_I15949_MP359_max,SW_MAX,1
H_vers_MO_Howell_I15952_MP409_max,SW_MAX,1
H_vers_MO_Barry_I15977_MP759_max,SW_MAX,1
H_vers_LA_Allen_I15941_MP162_max,SW_MAX,1
H_vers_TX_Wood_I3730_TXHV03_min,SW_MIN,1
H_vers_TX_Bastrop_I15936_MP019_min,SW_MIN,1
H_vers_TN_Shelby_I16303_MP700_min,SW_MIN,1
H_vers_OK_Cleveland_I15939_MP099_min,SW_MIN,1
H_vers_MO_Phelps_I15955_MP524_min,SW_MIN,1
H_vers_MO_Ozark_I15949_MP359_min,SW_MIN,1
H_vers_MO_Howell_I15952_MP409_min,SW_MIN,1
H_vers_MO_Barry_I15977_MP759_min,SW_MIN,1
H_vers_LA_Allen_I15941_MP162_min,SW_MIN,1
